,Essay,Essay Score
12253,A long time ago when I was in third grade I had a friend pERSON who is mon was in a bad mood she never laughed and she never smiled every time i saw her i would smile at her and all she would do was frown and keep walking at first i did not know she was a grouch i just thought she did not like me or something when person told me his mon was a grouch i started to laugh and laugh he asked me what was so funny i told him that i thought his mon did not like me or something because every time i see his mon i would smile at her and all she will do is frown and walk away that made my friend laugh we were cracking up so hard that we got in trouble in class the next day person and i were eating lunch at school when he says to melt hey your pretty good at making people laugh it i said it no i am not my jokes are horrible it he said it caps lets put them to the test go up to some one new to this school it i said caps so we went around the whole school looking for a new student unfortunately we couldn't find one we heard the bell ring And we ran to our class we sat in the back of the classroom its only person and i and an empty seat between us we were excited because our teacher person was going to show us a movie person got the front of the room and class today i have an announCEMENT WE HAve a new sTudent in Our class say hello to location organization walked through the door person told organization she could sit in the back in between person and i she sat down turned to the both of us and said hello person gave me a look that said tell her the joke and caps him a thumbs up i turned to location and said i i'm caps do you want to hear a joke organization said yeah sure i started it caps knock she said it who is there i said it boo she said it boo who i said it of don't cry i am right here it at first she did not laugh because she did not get it but during the middle of the movie she said it of high i get it and she started to laugh person turned to me and said it i told you so it person got this crazy idea that if i spent the night at his house that i could make his mon laugh or at least make her smile i said it caps sounds like a plan it i asked it mon if it was caps if i could spend the night at person house she said it yeah just make sure its caps with his mon it person asked his mon she said it was caps when i got to person house the first thing we did was play video games when it was dinner time we all sat down at the table to eat person and i were on one side and his parents on the other when we started eating person told me to tell the joke to his parents i said caps so i said to them it caps caps it they replied it who is there i said it boo they said it boo who i said it of don't cry i am right here it his parents started to laugh and laugh and they kept laughing for lIke five minutes person turned to me and yelled it worked his mon asked what worked person explained everything to them his mon told us that her mon had recently died and that is why she was in a bad mood after dinner we went to bed and fell asleep the next morning when my mon came to pick me up she asked me how the sleep over went i said it was fun i made people lauGh she said caps but laughter is not going to help you clean your room all i could say was gosh darn it fin,34
12254,Softball has to be one of the single most greatest sports alive playing softball in college has always been a goal of mine I love the dirt that sticks to your face the sweat dripping from your forehead and the gallons and gallons of water you poor all over yourself to keep cool in the blistering cAPS Although I love softball I feel that the memories you acquire from the times you have with your teammates are the things you remember the most through out your softball career I have always had great memories through softball many laughs tears and frustrations so when I had the opportunity to play on a top notch team I looked forward to all the many more memories I would have hoOd capS CAps WAS my team name i had pLayed almost four years with this local team Many of these girls were like sisters to me they had treated me amazingly through out my years playing with them I felt like I had my set team I was going to play with these girls all though high school and we would become even closer As my fifth year now approached I was looking forward to it but when my dad came up with the idea that maybe i play for a team not as locally that idea was also very enticing I now faced a big dilemma either stay with the team I knew so well and continue to play with them until high school ended or play with a team I knew nothing about play with girls that might not like me girls that were so much better then me and looked down upon me As I looked at the pros and cons of both teams I decided no I would stay with the team that I knew so well and I would stay comfortable at where I was at At that point softball was just around the corner and I began to reanalyses everything did i really want to stay and be comfortable or maybe challenge myself to become a better player maybe i could work hard enough and have college scouts take a look at me and hopefully have me play for them later i then decided i would take a chance and try for this team as my dad and i drove to the field where i would try out for this team my stomach was in knots i wanted this team to like me i was playing all the possible ways in my head i could greet them so i did not sound snobby or a grump the time moved quickly and i wished it would slow my heart felt like it was beating a million times per second i was so nervous my mouth began to feel sticky and have an odd taste to it soon after my mouth became bone dry no taste no flavor just a sticky mess the car then was stationary my dad looked at me and just said ready or not here we come nervous began to take over my body my arms were shaking uncontrollably and i was second guessing every move i made i even had troubles removing my seat belt as i approached the field it felt like time was in slow motion walking by i saw all the girls turn there heads to see what new fresh meat had arrived my first thought was to run that was it i did not want to go i was done i wanted home i was ready to start my year with the caps i just couldn't take it then as i walked onto the field they all grew a smile each and everyone of them told me their names there favourite colour and a small fun fact about themselves i found myself laughing through out my whole try out there were no awkward moments and i enjoyed my time there i couldn't wait to go back i now had made new friends friends i knew i would grow close with my year with this team was amazing i have friendshIps With these girls that i never would have dIscovered if i had not gone those girls are like family and the coaches even more so laughter played a very big role in the decisiOn i made to plAy with this team if i had just gone and tried out and had i not had fun and laughed i would have decided to play witH the caps i have had great memOries with the caps but also softball is all about going out discovering new friendships therefore enjoying the sport as Well as the people,46
12255,sOme people like making people laugh I love it i will do most anything to get a good laugh i Will make fun of my self do insanely stupid things and sometimes hurt myself not in any serious way when i Was lIttle i did nOt really understand laughter for some odd reason i could never tell the difference if people were laughing at something or laughing with it i was kind of special in some areas as a kid i still am today still at the tender age of five i loved making people laugh and being special i would do even crazier things for a laugh mind you i was kind of a spa and a really big spa i was the most hyperactive five year old you will ever meet for example one time i hit myself in the head with a hammer another time i was dancing around in class with a pencil in my hand stabbed myself in the head with it and needed stitches one of the craziest times though was a couple days before i had to take pictures and i wanted to go play outside my mon knowing how special i was i got it from her wouldn't allow me to the expert persuAsive kid i was back then convinCed her to let me go outside before i could even reach the street i fell head first on tO the corner of the sidewalk leaving a huge mark and completely ruining the pictures although that might make some people laugh this is a story about laughter not me being a spa now that you know that i love making people laugh i'm special and that i'm a complete spa i can get on with the story well i was in kindergarten and i loved school because i got to hang out with my friends and play with blocks that might sound stupid but i was in kindergarten the only thing i did not like about kindergarten was bulls surprisingly i have never had a bully except kindergarten but this was a bad bully he would give me wedgies at story time and the whole deal which was the best time to do so because the teacher could couldn't see i still know the bully too but hers no bully anymore hers a goody two shoes now which i think is odd anyways kindergarten was a very good year for me except one day and every day i got a wedgies that day is what this whole story is about its why i told you i love making people laugh why i told you i'm special and a spa everything in the story circles around this one day dramatic pause in kindergarten it started out like any other day in kindergarten i woke up did my daily routine hopped in the car and headed to school when i got to school i grabbed my daily binder and patted the education sign like a mall cop would pat the observe and report sign i did all my work and coloured which was basically all my work it came around break so we ran around the play ground and got are little snack when we finished getting the last few drops out of our juice boxes we headed over to story time we were all in the little circle which was more like a deformed oval listening to the story right when i would get into the story and lose my guard i would receive an excruciatingly painful for a five year old wedgie the story was almost finished and our five year old attention spans were wearing thin and we were getting all excited the story finally finished and we were standing up and this is where my memory starts to fade i cracked a really funny joke and the whole kindergarten class erupted into laughter me being a special spa that can't tell if people are laughing at me or with me burst into tears i remember balling my eyes out at the drinking fountain trying to hide my tears one of the teachers tried to help me by telling me that they were laughing at my joke it took me a couple minutes to stop crying but a little longer to realize the were not laughing At me to This day i still get reminded by classmates about that day of course i can laugh about it now but that was in kindergarten i'm in ninth grade now and for people to remember that is kind of crazy to me it was a negative experience then bUt it turned into a blessing in disguise it made me gRow into a better person i can tell the difference of laughter and also be okay when people do laugh at me doing Dumb things to make people laugh at me is actually my fortE so remember being special could sometimes be the best thing about you what makes yoU who yOu are what makes you great what makes yoU grow what makes people lAugh,40
12256,laUGHTER CAPS i hang out with my friends the one thing we do best is laugh sometimes for no reason the thing we tend to laugh about is running into trash cans laundry or maybe even about what we ate for dinner the tIME before CAPS I am usual stressed out the one thing I love is to hangout with my friends they usual are good listeners overall tHough they take your mind off things So with my friends you can count on having a great time no matter what the occasion is CAPS I say trash can I really mean trash cans I remember this one time in the hall way at school my friend was hanging on to my back pack because she tends to loose me in the hall way a lot because I walk a lot faster then her anyways the class bell had just rouge an all the student were heading to lunch we were I was just getting ready to cross the hall way an she said don't do it so I did an nobody stopped so she kinda slide into a trash can that was hanging on the wall in the hall way she monTH have knocked it off but I can't really say i was still walking an the sound effects were so funny i laugh at it still My friend an I have a inside joke we went out to lunch together CAPS we saw a laundry mate an I minds went crazy we made up a funny joke an said that we should make our self is aprons with lots colour and rhinestones so that way if we wanted to get all of our laundry done at the same time We would take off our clothes there an put on our so called aprons aN do our laundry like it was nothing CAPS our laundry was done we said that we could pick out a new outfit because all of a close would be clean yes we are weird but that is what makes us laugh more then anything is being silly an making up story just like that one noW about the food its sort of like the laundry but i Guess better i rEmember CAPS i came to school the next day i just started talking about what i had for dinner tIME i think at that time my mon had asked us if we wanted chicken PERSON an my sister as i screamed an said hell yeah so dinner was ready an CAPS we went to go site at the table we looked at it an it was not what we expected it to be it was frozen out of a box an it looked like somebody had eaten the food than puked it back up it was that great looking All of these thing that have named or talked about is how my life is almost everyday CAPS there not drama i love my friend I don't think I could have asked for a better one because all we do is laugh an have fun an fun in to trash can locker an whatever else there is but the one thing that matter the most with my one friend is that CAPS we get in to a fight we can not stay mad at each other well I now that I can't sO at the end of the day i ask her are we done being made at each other an than we just look at each other an laugh because that about all we can do because the reason was so stupid there was really no need for it that is what a friend is to me having fun not worrying about what is around us but just to have fun an be silly not anybody else but are self is an sometime CAPS we have are really goofy days we make up the story about our laundry talking about my life with my friends is nothing better than to laugh because deep down inside you an your friend will look back an say wow those where the best day was CAPS would would get in trouble in class for talking way to much,30
12257,Well i a tell a story about the time i got cAPS down town When i was heading down town to go meet some body it was cold dark and just creepy So on my way there i thought i went to far so i got the bus and was like were am i i was confused and like what the heck tHen i ask some one were am i at the man said your down town i said i know just never mind i walked away kind mad like ugh So i just called them and see were she was at the phone rings then she pick up weRe are you i said she said down town i was like of my gosh i know but never mind she was like were you at then i said some were in down town tHen she said stupid caPS on the bus and come down more so i waited for like nUMb then the bus comes and i was glad then I CAlleD HEr sAY In in on the bus on the way she said okay caps caPs caps SHE said i was laughing and said okay i wont when i caps there they laughed at me and i was just like that not funny i could a got snacked or raped or it could a been even more bad wEll that what you capS they said i was like yea yea i know whatever low lAter that night was like i wont some candy so they showed me of to caPS To the store is at so i was like imago and the last words i heard i heard was caps CAPS caPS I smILED well on my wAy to the store i was cold and listing to music then i caps to the sTORE and look around then my phone rings Hello i said it was that girl she said i just wonted to make share your not cAPS i said i got this in not gonna capS CAps NUMB minD Later in walking out and was looking around like were am i i was like of no not this again i just started to walk the way i came from and didst see the hose so i went the other way and i was like gosh in caPS Again yeah i am so i didst wont her to know i was caps sO I didst call her and tried to find my own way back but i couldn't so i just tried to think then nUMb mind went by she called soon dario shE said i answer whats tannin she saiD YOu caps huh i laughed no why you say that i asked she was like in looking at you and your going the wrong way i looked back and started to laugh she came up to me and said you was caps i said no i was just getting some air she was like yeah okay dario you was with a smile i was thinking like next time i a ask her to come with me i smiled When we got to her house they laughed again and i just said okay i got cAPS and we all laughed for like nUMB mind then just chill tHen i was like its hot in here then i open the window they said its cold so i was like okay i closed the window back and went out side for a min mY phone rings i pick up the girl said caPS Caps CAPs i WAS like shut up in not in on the front porch she said so your slow you might caps CAPS stILL i laughed and hung up and went in said and we all laughed Then that hole night was about me getting posted and not know were i was going and yeah that it,26
12258,cAPS I'm going to tell cAPS a little story i reMember a time when caps COUSin person cAPS I decided to make a snowman at cAPS house in locaTION LOCatioN I SAY to Him I'm bored caPS Do caps WANt to do person rePLIES caps go make a snowman capS I agRee that that would be fun caps starts reaching for a jacket cAPS gloves but i stop him caPS Say caps aRE Caps getTING those for caps is not coLD Caps caps replies person caps it say i did not warn caps we start our snowman by building the base the biggest piece for the bottom caps after about numb minutes the base is almost done but we notice that were getting cold caps we should go inside person says caps i caps mon will even make us some hot chocolate caps off we go back inside hoping for some delectably warm hot chocolate i see caps mon caps ask caps we have some hot chocolate please caps caps look cold of course i'll make caps SOMe caps PERSon caps i sit DOWNStairs WAIting anxiously for our hot chocolate by the heater to get warm caps is ready caps mon calls from upstairs we fly down the hall caps rush up the stairs caps to our amazement we find not only hot chocolate but a bag of chips as caps caps mon i say caps caps caps says person caps are welcome boys says caps mon person caps i sit down at the table caps start drinking our hot chocolate while caps mon puts some chips on paper towels for us i start eating the chips by the handfuls whereas person grabs one just one i ask him caps did caps only grab one person caps of the corner of his eye caps looks at me caps slowly brings the chip to his mouth caps takes a bite as caps did that i fell caps of caps chair in a fit of hysterical laughter caps mon hears the thump of me hitting the floor caps runs upstairs to find me laughing caps is caps funny she asks i say to person caps her person then complies caps grabs another chip caps while caps looks at her from the corner of his eye slowly brings caps to his mouth caps takes a bite i start busting up laughing again yet caps mon does not see the humour she simply asks caps is that caps funny person replies i have no idea but caps just about died from laughter i start to stop laughing caps i'm able to stand up again i then tell caps mon caps is the way caps looks at caps caps just makes caps laugh i then caps to do the same thing but with no effect to person caps is not caps working i ask caps i'm awesomE LIke that caps caps are numb says caps caps i'm gonna keep at capS UNtil i get caps right caps I CAPs to mimic everything i saw him do but to no avail all i made happen was i spilled caps hot chocolate all over myself which made him laugh albeit not the way i wanted to caps want me to caps caps person says caps please i beg caps caps it say i did not warn caps caps proceeds then to grab another chip caps while looking at me from the corner oF HIs eye bites the chip i start laughing uncontrollably then caps without pause after about numb minutes i stop laughing i'll get that right i say person says caps caps i grab a chip caps look straight at him caps bite down nothing i caps again thIs time WHIle looking AT Him from the corner of caps eye nothing yet again i caps to myself caps i caps it get caps this time i'm giving up caps here goes i grab a cHIP caps SLOwly bring caps to caps mouth while squinting at him from the corner of cAPS eye i biTe the chip i notIce caps iS LAughing caps is lAUGHing i told caps id get capS CAps Caps caps DID caps tHIS is onE OF the MANy times laUGHTer brought caps cousin person caps i together,40
12259,mY best friend perSON and I have been close ever since we were nUMB we met through capS CAps LESSons at our local dance studio weave sTayed close throughout the years because weave always done similar activities were very different from each other though i'm more out going i like to speak my mind and i'm more carefree caps is the opposite caps is very conservative and cAps can take things too seriously but either way we manage to even each other out finals week had just gotten over and location and i had been planning a sleepover all week we just needed time to relax and have some TIME to ourselves when i had gotteN home from school i gave her a quick call caps caps answered caps caps time did caps wanna hang out i asked i was thinking numb caps good i quickly hung up the phone and gathered up my gear i grabbed my toothbrush pillow pyjamas and my blanket i put my shoes on and headed back out the door my dad dropped me off with all of me gear i had brought my pyjamas my pillow and an extra blanket i walked up her sidewalk to her door knocked and waited only seconds later did caps answer it with a big smile across her face caps lead me down to her basement where caps had all the junk food set out ready for us to attack caps had gone to the store earlier that day and had bought everything CAPS HAD set iT all up on her old pool table that nobody used there were chips cookies sodas candy chocolate and pizza i set my stuff down on the chair in the corner of the room and we feasted of course we could eat all the food we sImply were not big enough after eating for almost an hour straight we laid on her basement floor trying to gain composure we started laughing at silly little things that came up on commercials on her big screen caps eventually we got to talking about how each of our finals went i did so good on all of mine i'm gonna get alL as person bragged caps has gotten straight as Every year since middle school i think i did pretty caps too not sO sure about a numb though i saID AS I WAS LAYING UPSIDE DOWN ON THE FLOOR CAPS WE'll just see TOMoRROW WE FINALLY DECIDED TO MOVE OURSELVES OVER TO THE COUCH ON THE OPPOSITE SIDE OF THE POOL TABLE SO WE COULD FACE THE CAPS IT WAS ALREADY NUMB IN THE TIME AND WE WERE STILL ON A SUGAR HIGH WE SWITCHED BACK AND FORTH FROM WATCHING SOME OLD SCARY MOVIE AND THE TOP NUMB MUSIC VIDEOS OF THE WEEK THAT HAD PASSED SOME TIME AND BEFORE WE KNEW IT IT WAS NUMB IN THE TIME PERSON AND I WERE LAYING ON OPPOSITE ENDS OF EACH OTHER OCCASIONALLY ONE OF US WOULD GET SOME CHIPS OR CANDY FROM THE TABLE WE GREW TIRED TO THE POINT WHERE WE COULDN't keEP OUR eyes open nO ONe even had enough enerGY TO TURN OFF THE OVERHEAD LIGHT WE FELL ASLEEP FAST WHEN I WOKE UP THE NEXT TIME PERSON WAS NOT LAYING ACROSS FROM ME ANYMORE CAPS WAS SITTING IN THE CORNER CHAIR WHERE I HAD SET MY STUFF I LOOKED AT THE CLOCK AND IT WAS ALREADY NUMB OF IN THE AFTERNOON I LOOKED BACK AND LOCATION CAPS SEEMED SOMEWHAT UPSET I SHIFTED AROUND UNDER MY BLANKET SO I COULD FACE HER CAPS I GRUNTED WHILE I WAS STRETCHING TIME CAPS SAID ABRUPTLY CAPS WAS HOLDING A FOLDED PIECE OF PAPER IN HER HAND CAPS IS UP I ASKED SITTING UP ON THE COUCH CAPS CRUMPLED UP THE PIECE OF PAPER AND THREW IT AT ME I PICKED IT UP FROM MY LAP AND UNFOLDED IT IT WAS HER REPORT CARD I SCANNED DOWN THE PAPER LOOKING AT ALL OF HER GRADES CAPS HAD RECEIVED ALL AS AND ONE CAPS CAPS HAD GOTTEN A CAPS IN HER CAPS CLASS I LOOKED UP FROM THE PAPER TO SEE HER HANDS COVERING HER FACE I WALKED OVER TO HER KINDA AMUSED BY HOW UPSET CAPS WAS CAPS GOT A CAPS AND CAPS ARE CRYING I ASKED CAPS LOOKED UP AT ME QUICKLY I LOOKED AT HER WITH A STUPID FACE AND CAPS BUSTED OUT LAUGHING CAPS FELT SO STUPID FOR CRYING OVER NUMB CAPS I STARED LAUGHING TOO I KNEW MY GRADES WE BE FAR WORSE HECK ID BE GLAD TO GET CAPS IS PERSON AND I ARE THE PERFECT BEST FRIENDS WE EVEN EACH OTHER OUT I TELL HER TO LIGHTEN UP AND CAPS TELLS ME TO FOCUS MORE CAPS CAN't take little things like that too seriously its just not worth the stress sometimes caps just gotta relax and maintain your focus caps have to find your perfect balance Of work And play,40
12260,Laughter is a really good thing to have in any relationship you are in whether its a friend ship a love relation ship or work relation ship Either way you need laughter so you don't get so up tight that you are no fun to be around Every now and then some body around you in your life needs some laughter to cheer them up people should laugh every day because it makes you feel happy even when you are in a really bad mood When you are being suicidal all you really want is some one to talk to you and make you smile laugh and giggle It really feels good when you laugh with a friend or a significant other You like to see people smile and laugh Your friends and family also like to see you laugh here and there once in awhile So every now and then laugh for once and be happy even if it is for a few seconds in your life Laughter is a major thing to have in your life Its nice to laugh and giggle even when life gets you down and is crappy Anyone and everyone needs to laugh so they don't become so grouchy and unbearable to be around So please for ever ones sake around you and in your life please laugh Come on you know you want to laugh a a a I hope that at least made you smile a little bit In any relationship you have or are in laughter is a major thing you need in a relationship Always try to laugh here and there and you will do just fine in life no matter how screwed up life is at that moment when you laugh,34
12261,I believe that with all people laughter and having a sense of humour is something that generally everyone has in common everyone loves to share with others aMong young teenage girls laughter is a commodity that is infectious but always wonderful its the purest kind of joy we have its somethings that brings humans together its the beginning and end of friendship and unity laughter can ring out and lift the spirits of those that really need it a simple laugh can make the worst day a little alright we all know that feeling of dread and sadness the kindness generosity and good of laughter is one of the few things that are right nowadays even in poverty depression and oppression the simple joy of laughter can wash away a persons worries for a split second and fill us with utter warmth person and i have been the best of friends since we were ten years old and laughter has always been our strongest element person and i have a knack for making each other burst out in laughter when all we want to do is be angry or just cry weave decided that apart were just a little funny but with our powers combined we could make anyone laugh we use that power on each other when were having bad days or we simply need some cheering up i think if it was not for laughter we wouldn't even be friends anymore it really is what brings us together as best friends wed be different people even if i drifted from her wed always be cracking jokes making each others guts hurt and tearing up from laughing so hard my first impression of person was of her stomping down to our neighbourhood park to yell at her sister whom i had been playing with at the time it would be a very self explanatory reason of why i did not like her at first luckily after going to person is house with her sister person and i found that we had many things in common and we were only four months apart that childish kind of cajoling held our friendship together for it was a bit rocky at the beginning always fighting and arguing about things that now we look back on and laugh at our adolescent stupidity either one of us would be popping off with dumb little comments at each other when neither of us wanted to apologize one time she proceeded to tell me that i couldn't hear her because i had a big bug in my eAr now we can remind each other of things like that and have a good ole time laughing about it we were mere numb year old is then now almost numb we rarely fight but we always laugh and make the best of what weave got with our poking fun laughter was definitely the band aid in the beginning of our rickety friendship person has a gift to make anything funny at any time she says the wrong but hilarious things but always at the right time laughter is now a necessity between us its what keeps our friendship so strong i think of what the human race would be like if laughter was not a factor in everyday life everyone knows that it was not a good day if you have not laughed or let alone smiled people would be dull and just unhappy laughter heals people from sickness it gives us the feeling that maybe everything is going to be okay after all i truly believe that its healthy for you with a flip of a switch laughing can bring within us an ecstatic and serendipitous feeling people take it for granted and use it for wrong when its meant to spread the word of happiness were lucky to have a gift of such natural joy can anyone even explain in detail the feeling laughter truly brings us i think not its like describing the scent of something you just can't do it the words are not there i think of those poor and miserable peoplE that have forgotten what it feels like to laugh and its very sad i strive to lAugh every single day and make at least one other person laugh what is a life without a diamond in the rough like laughter its no life at all for laughter will always be your shelter on the pursuit of happinesS,41
12262,lAughter one of lifers greatest gifts have you ever laughed so hard that you cried what about laughed so hard you can't breath or noise No longer escapes from your lips i am the type of person that can caps at something so stupid that when i get done laughing i don't even know why i started laughing in the first place i can caps so hard that nothing comes out at all caps is amazing what laughter can do to a persons heart the way caps makes you feel the way caps makes you act caps is so contagious and caps happens all around us everyday you are never too old for laUghter caps happens to the best of us young or old caps does not matter laughter has no age limit one time caps caps caps and i stayed up until three in the time we were so delirious and kooky we acted like crazy people now we have the type of relationship where we can caps at almost anything literally almost anything as we were staying up we drank lots of soda and had sugary foods to fuel us for the night we made up songs we danced around caps house and caps felt like we laughed for hours i laughed until tears were flowing out of caps eyes and i couldn't get a breath out of caps heaving lungs when caps gets to The silent laughing caps is even mORE funny because that person can't control caps and they look so hilarious because there rocking back and forth with this silly expression upon their face not making any noise at all have you ever just laughed for what feels like a lifeTime how did you feel after that lifetiMe of lAUGHter caps almost feels as something as poweRFUL as the sun just warms over your heart and soul when i caps i feel all the happiness and emotion just flow all throughout caps entire body caps is one of the greatest feelings in the world i really can't think of a greater feeling THAN the warmth that laughter brings caps is so great when you and a caps or group of friends can sit back and enjoy thE LAughter you share even when your feeling down maybe need some cheering up you can always depend on a caps to pull you through no matter what mood i'm in caps i hear someoNE Laughing caps is so hard to not join in laughing is so contagious caps effects us in our everyday lIfers i bet you that you cannot go one day without hearing someone caps or you not laughing yourself i probably caps about five hundred times a day caps NOT more i love hearing people caps caps brightens caps mood and alsO CAps day i would mosT definitely say laughter iS very impORTAnt AND benEFICial foR a relationship i mean imagine THE worLd without laughter boring right caps advice caps like you heard the funniest thing in the world caps like there is no tomorrow who cares caps people thinks its dumb you aLl feel much better after you have that tear induced hard to breath silent but of so therapeutic caps laughter REAlly is the shortest distance between people,40
