rater1_domain1,rater2_domain1,,,
18,16,-2,,1.991701245
21,26,5,,
15,20,5,,
12,20,8,,
11,15,4,,
20,18,-2,,
20,20,0,,
15,19,4,,
21,20,-1,,
20,20,0,,
16,15,-1,,
23,16,-7,,
15,16,1,,
18,18,0,,
23,20,-3,,
10,10,0,,
20,25,5,,
20,20,0,,
15,15,0,,
15,20,5,,
20,20,0,,
22,20,-2,,
16,18,2,,
17,16,-1,,
18,20,2,,
19,17,-2,,
20,25,5,,
16,15,-1,,
15,15,0,,
18,16,-2,,
15,18,3,,
23,18,-5,,
23,24,1,,
15,15,0,,
20,20,0,,
15,17,2,,
19,20,1,,
15,15,0,,
20,20,0,,
25,20,-5,,
20,25,5,,
20,25,5,,
20,26,6,,
21,18,-3,,
15,18,3,,
15,18,3,,
17,17,0,,
20,20,0,,
15,18,3,,
18,15,-3,,
20,20,0,,
20,18,-2,,
20,17,-3,,
15,20,5,,
18,15,-3,,
17,20,3,,
22,20,-2,,
20,20,0,,
20,20,0,,
20,18,-2,,
15,16,1,,
20,22,2,,
20,20,0,,
17,18,1,,
18,17,-1,,
15,18,3,,
18,15,-3,,
15,15,0,,
20,17,-3,,
20,20,0,,
20,20,0,,
17,18,1,,
18,17,-1,,
15,16,1,,
20,20,0,,
20,19,-1,,
18,18,0,,
17,15,-2,,
15,16,1,,
13,17,4,,
16,16,0,,
15,15,0,,
30,25,-5,,
25,20,-5,,
21,20,-1,,
20,25,5,,
15,18,3,,
30,30,0,,
24,21,-3,,
13,15,2,,
25,24,-1,,
17,16,-1,,
14,15,1,,
20,18,-2,,
20,20,0,,
20,18,-2,,
20,20,0,,
15,12,-3,,
13,11,-2,,
17,15,-2,,
17,16,-1,,
21,14,-7,,
15,16,1,,
20,18,-2,,
15,20,5,,
15,15,0,,
21,23,2,,
16,15,-1,,
15,17,2,,
20,20,0,,
15,17,2,,
20,20,0,,
18,20,2,,
20,23,3,,
20,18,-2,,
19,20,1,,
20,25,5,,
17,19,2,,
20,18,-2,,
20,17,-3,,
20,16,-4,,
16,15,-1,,
10,15,5,,
20,18,-2,,
15,18,3,,
17,20,3,,
20,20,0,,
17,18,1,,
20,20,0,,
16,12,-4,,
18,20,2,,
20,16,-4,,
20,23,3,,
15,19,4,,
15,17,2,,
19,25,6,,
20,19,-1,,
18,20,2,,
17,20,3,,
18,18,0,,
20,20,0,,
15,15,0,,
17,15,-2,,
23,21,-2,,
17,20,3,,
22,20,-2,,
20,20,0,,
20,18,-2,,
15,13,-2,,
15,19,4,,
24,20,-4,,
18,20,2,,
18,17,-1,,
17,17,0,,
15,17,2,,
20,20,0,,
15,19,4,,
20,20,0,,
18,20,2,,
20,17,-3,,
18,20,2,,
14,15,1,,
15,19,4,,
17,15,-2,,
23,20,-3,,
20,17,-3,,
13,19,6,,
15,14,-1,,
18,12,-6,,
24,23,-1,,
20,16,-4,,
20,20,0,,
13,16,3,,
20,20,0,,
20,21,1,,
20,20,0,,
17,15,-2,,
20,20,0,,
18,20,2,,
15,19,4,,
15,16,1,,
20,14,-6,,
20,20,0,,
20,20,0,,
16,15,-1,,
14,15,1,,
20,23,3,,
20,20,0,,
19,20,1,,
16,20,4,,
16,15,-1,,
10,5,-5,,
18,22,4,,
18,18,0,,
20,25,5,,
17,18,1,,
20,25,5,,
20,20,0,,
20,20,0,,
16,20,4,,
15,13,-2,,
20,20,0,,
10,10,0,,
18,18,0,,
21,25,4,,
16,16,0,,
21,20,-1,,
22,22,0,,
20,16,-4,,
20,22,2,,
20,22,2,,
16,15,-1,,
20,25,5,,
17,15,-2,,
20,23,3,,
16,15,-1,,
